releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesUniform,processingUniform,10,False,False,2851.0,2851,0.0935,0.0132
releasesUniform,processingUniform,11,False,False,5032.0,5032,0.0994,0.0085
releasesUniform,processingUniform,12,False,False,7231.0,7231,0.1404,0.016
releasesUniform,processingUniform,13,False,False,5659.0,5659,0.3408,0.0182
releasesUniform,processingUniform,14,False,False,8725.0,8725,0.5783,0.0121
releasesUniform,processingUniform,15,False,False,6792.0,6792,0.2765,0.0171
releasesUniform,processingUniform,16,False,False,10680.0,10680,3.518,0.0193
releasesUniform,processingUniform,17,False,False,9325.0,9325,5.3319,0.0728
releasesUniform,processingUniform,18,False,False,11004.0,11004,1.4725,0.2852
releasesUniform,processingUniform,19,False,False,19430.0,19430,1.9654,0.0235
releasesUniform,processingUniform,2,False,False,265.0,265,0.0007,0.0004
releasesUniform,processingUniform,20,False,False,18906.0,18906,4.1975,0.0445
releasesUniform,processingUniform,21,False,False,14325.0,14325,55.7118,0.1733
releasesUniform,processingUniform,21,False,False,16226.0,16226,3.8359,0.1058
releasesUniform,processingUniform,23,False,False,25616.0,25616,1.2179,0.0756
releasesUniform,processingUniform,24,False,False,21798.0,21798,1.2488,0.1485
releasesUniform,processingUniform,25,True,False,28110.0,28110,60.0,0.1954
releasesUniform,processingUniform,26,True,False,23101.0,22984,60.0,0.6834
releasesUniform,processingUniform,27,True,False,27633.0,27633,60.0,0.4257
releasesUniform,processingUniform,28,False,False,25259.0,25259,6.2226,0.4604
releasesUniform,processingUniform,29,False,False,33048.0,33031,59.9987,0.3836
releasesUniform,processingUniform,3,False,True,538.0,inf,0.0008,60.0
releasesUniform,processingUniform,30,True,False,26082.0,26082,60.0,2.6083
releasesUniform,processingUniform,4,False,False,894.0,894,0.001,0.0009
releasesUniform,processingUniform,5,False,True,1136.0,inf,0.0024,60.0
releasesUniform,processingUniform,6,False,False,2126.0,2126,0.0255,0.0014
releasesUniform,processingUniform,7,False,False,1944.0,1944,0.057,0.0015
releasesUniform,processingUniform,8,False,False,2568.0,2568,0.0635,0.0037
releasesUniform,processingUniform,9,False,False,5437.0,5437,0.1129,0.0018
